pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,sy_dist,planet_type,nasa_exoplanet_id
14 Her b,14 Her,,1774.1935064244444,2.8174444444444444,17.9323,Unknown,1
16 Cyg B b,16 Cyg B,,533.5145281766667,1.6628333333333334,21.1397,Unknown,2
2MASS J01225093-2439505 b,2MASS J01225093-2439505,11.209,7786.5,52.0,33.8281,Gigante Gaseoso,3
2MASS J12073346-3932539 b,2MASS J12073346-3932539,15.69257298,1504.2859054666667,50.5,64.308,Gigante Gaseoso,4
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,3813.940884,7493.0,34.1154,Unknown,5
2MASS J22501512+2325342 b,2MASS J22501512+2325342,,9534.85221,518.0,57.2309,Unknown,6
47 UMa b,47 UMa,,808.8531927116668,2.097166666666667,13.7967,Unknown,7
47 UMa c,47 UMa,,229.86292957,4.54675,13.7967,Unknown,8
47 UMa d,47 UMa,,500.570447285,12.7,13.7967,Unknown,9
51 Eri b,51 Eri,,1801.0287016666668,12.4,29.7575,Unknown,10
51 Peg b,51 Peg,,148.36025617,0.0522624999999999,15.4614,Unknown,11
55 Cnc B b,55 Cnc B,,3.5,0.044,12.4773,Unknown,12
55 Cnc B c,55 Cnc B,,5.3,0.13,12.4773,Unknown,13
55 Cnc b,55 Cnc,,262.35516502071425,0.1140440892857142,12.5855,Unknown,14
55 Cnc c,55 Cnc,,54.95810676,0.2391826,12.5855,Unknown,15
55 Cnc d,55 Cnc,,1137.1788515633334,5.57525,12.5855,Unknown,16
55 Cnc e,55 Cnc,1.968111213,8.664737200666668,0.0190061466923076,12.5855,Super-Tierra,17
55 Cnc f,55 Cnc,,46.737643336666665,0.7780111111111112,12.5855,Unknown,18
6 Lyn b,6 Lyn,,675.4694583925,2.1295,54.6599,Unknown,19
61 Vir b,61 Vir,,5.339012449999999,0.0496903333333333,8.50332,Unknown,20
61 Vir c,61 Vir,,17.38463341,0.2155,8.50332,Unknown,21
61 Vir d,61 Vir,,16.91,0.47185,8.50332,Unknown,22
7 CMa b,7 CMa,,703.161825,1.847,19.8101,Unknown,23
7 CMa c,7 CMa,,283.20605,2.1790000000000003,19.8101,Unknown,24
70 Vir b,70 Vir,,2315.677210435,0.4764166666666666,17.9011,Unknown,25
91 Aqr b,91 Aqr,,1017.0,0.7,44.0304,Unknown,26
